复活之战斗在第三帝国 　　　　世界上再没有比在碧蓝的天空里自由自在的飞翔更享受的事情了。
在漫威当超级英雄的那些年 　　美国东部时间早上10.00点，DC·HSD特区国家纪念馆。这座全美国负有盛名的纪念馆中陈列着美国开国至今两百年间，最值得纪念的国家物品。
超时空穿越 　　（ps：开头可能有些土，后面你会喜欢上的。）
回到过去当女神 　　啾啾。
重生绿袍 　　　　时针早已走近了十二点，苏文走至窗前，望着眼前杭州这个江南都市，尽管已是午夜时分，却依旧是灯火通明。不得不让人感叹，近些年来，整个国家的兴盛发展。经济发展，人们物质生活确实是提高了不少，但精神上似乎变得更加的空虚了。
从酋长到球长 　　陈健的穿越是和别人不同的：虽然都是穿越到古代，可他的身上却只披着半张兽皮，不远处还有一柄石斧。
弃僧 　　“还是不许我皈依吗？”
重生科技狂人 　　　　唐焕感觉自己好像进行了一次光怪陆离的旅行，无数的记忆碎片在残缺的灵魂里糅合着，其中蕴含的智慧、情感甚至还有欲_望，通通地成了他的一部分。
随身带个侏罗纪 　　八月的太阳火辣辣地悬在三岔河镇的上空，晒得街道上都冒烟儿。
烽火逃兵 　　民国二十六年十一月五日，阴，时有小雨。冬季接近了，刚刚傍晚，天色已经完全暗了下来。安亭，沪宁铁路上一个不见经传的江南水乡小镇，此刻却人流匆匆，骡马的嘈杂声混合着疲惫的喘息，伤痛的呻吟，不是热闹，反而是一种悲凉，是一种莫名的肃穆和哀伤，暮色下，泥流一般沿着沪宁铁路的两侧向西涌动，连绵至黑暗的尽头。匆匆的身影背后，黑暗的东方天际，不时爆发出冷冽的闪光，断续照亮着阴沉的云底，隐隐夹杂着隆隆的轰鸣，那里，就是上海，正在承受着日军舰炮的蹂躏，做最后的挣扎。
战破苍穹 　　幽暗的长廊，一名盗贼疾速向前跑着。
最丧尸 　　夕阳西下，夜色降临。
重生之明星奶爸 　　“乖，叫爸爸！”
永历四年 　　　　永历四年六月，绍兴府。
超魔构筑师 　　“乘客请注意，前方，即将到达终点站，‘薄暮之都’——长安。”
我的美女公寓 　　“啊，不好，要迟到了。”
特殊事件专案组 　　东非，厄立特里亚。
一世富贵 　　天圣二年夏四月丁卯，徐平坐在自己田庄东边麦场边的大柳树下，背靠着柳树，看着南边不远处的小河出神。他的屁股下是一张竹席，身边是一个果盘，装了些蜜饯干果。
篮球之娱乐帝王 　　第一章：上帝之子
终末之城 　　雨还在下。
黑暗主宰 　　三河市。
位面无限重生 　　“咔嚓！咔嚓！咔嚓！”
娱乐掌控者 　　1980年3月26日，曼哈顿百老汇大街77号，第十五层楼那大大小小的工作间里，交易员们在开市的那一刻就火热朝天的打起了电话。
最强道统系统 　　第一章天道传承系统
兵甲三国 　　（简介之铝盔铝甲指的是最牛逼的那种超硬铝合金，各项属性不亚于普通钢但是只有钢的1/4的重量，勿以此吐槽，拜谢！）
重生原始时代 　　江南好，风景旧曾谙。日出江花红胜火，春来江水绿如蓝。能不忆江南？
铁血宏图 　　哆哆嗦嗦打开房门，关上门，进了卧室的瞬间朱逸峰整个人所有的残存的意识都随之烟消云散，重重的倒在地上就浑然不觉了，灵魂仿佛走进了天堂，飘渺在虚幻的世界里……此时醉酒的意境在此体现的淋漓尽致。
韩娱之崛起 　　2012.2.12午夜阴
都市最强装逼系统 　　星美娱乐公司，保安部训练场。
我的房间有个星际战场 　　二零二一年四月，高二第七次月考成绩出来，谢东的分数排名，还是班级倒数第三名。
逍遥小书生 　　睫毛抖动了几下，眼睛猛地睁开，李易从噩梦中惊醒。
无限之神座无敌 　　夜晚，木叶宇智波族地。
天路杀神 　　　　呼……叶信从草丛中猛然翻身坐起，发现自己的衣襟早已被冷汗浸透了，身体也在微微发抖，四肢无力，有一种虚脱感。
圣者 　　　　[[[CP|W:210|H:140|A:C|U:http://file1.qidian.com/chapters/20157/15/3463143635725557551410000508109.jpg]]]这是两百子左右的小星盘（局部）中间就是32个方向的玫瑰罗盘（也称蔷薇罗盘），巫妖和伊尔妲下的是双倍的大星盘，密集恐惧症患者慎入！被红色子包围的就是要被提出去的蓝子，最后谁剩的子多谁赢（在此借鉴围棋），当然，这是最简单的方式。
钻石王牌之最强打者 　　四月初，是东京樱花绽放的季节，可以说是东京最美的时节之一。
火影之朝佚千名 　　木叶38年。
英雄联盟之从小兵开始 　　张潮看着自己手中闪烁着淡蓝色光芒的权杖，整个人如坠云雾：“我这是……穿越了？”
重生之大娱乐帝国 　　…
席卷天下 　　“逃啊！！！”
奇妙重生 　　2016年9月16日夜12点整，古徽州西郊一座破落的古屋西厢房里。
主神降临英雄联盟 　　浩瀚的虚空之中，飘荡着一片片宛若星云般的云烟，其大者纵横亿万里，小者不过方圆里许的大小，斑斓一片，闪烁着各色的神光，不时还有如同通天支柱般粗大的霹雳从中闪过。
超级科学家 　　“叶先生，该你面试了，请进。”身着职业装的前台小姐领着叶晨来到办公室前，推开门，请叶晨进去。
一言通天 　　临山镇位于普国边陲，毗邻高耸入云的万恒山脉，正是这片人烟罕至、遍布百兽的无边山脉，将南北两座国度分隔了开来，也将冬夏两种极致的天象分隔了开来。
重生之无限梦想 　　有人说，幸福从来不是唾手可得的。
立地蛮太岁 　　“牛哥，早上好！”
娱乐玩童 　　“本台最新消息：昨日晚间十一时许，华娱旗下歌手肖思齐在驾车回京途中于金燕高速上发生车祸。据悉，事发当时肖思齐的妻儿也都在车上。事故发生后，肖思齐一家三口于今日凌晨零点已被送到燕京仁和医院急救。本台记者从院方获得的消息是，肖思齐本人目前已无生命危险，但全身多处骨折，正在治疗；而肖思齐的妻子，新世纪模特经纪公司旗下模特陈子琳因伤势严重，已于凌晨两点在医院去世。而两人三岁半的儿子因头部受到撞击，目前仍然昏迷尚未苏醒。据医院介绍，孩子有可能永远醒不过来......”
都市绝品仙医 　　嗖——
重生日本做监督 　　“啊啊~！”
寂静王冠 　　　　深夜里，天空中下着雨。
封仙 　　白云飘邈，仙雾朦胧。
大明1630 　　　　崇祯三年五月，北直隶良乡东关镇。
网货供应商 　　深居俯夹城，春去夏犹清。天意怜幽草，人间重晚晴。并添高阁迥，微注小窗明。越鸟巢干后，归飞体更轻。
大仙农 　　“小宇，正好你这几天回来了，没事去老宅子里看看，找一些有用的东西留下来。”一名中年妇女朝着院子里的青年说道。
战火来袭 　　侯大盛摸着怀里的美刀，脸上一片幸福之感。邓老八说的没错啊，这非洲还真是遍地都是黄金。没见那几个来蹭饭的大兵，随手就给自己塞了几张美刀么？！
我的虚拟游戏 　　“这鬼天气，尼玛真是够了！”
我就是英雄联盟 　　一阵摇晃，李玉龙跌倒在地上。
英雄联盟之明星召唤师 　　清泉市位于中国南方，是一座历史底蕴悠久的沿海城市，时值十月，北方一些地区都已经穿上了秋裤外套，这里还都满大街短袖。
玄镜司 　　“今晚的月亮真圆啊！”
会穿越的国王 　　“王子醒了！”
摸金天帝 　　燕王国像是趴在远古巨兽般庞大的大周帝国版图上的一个诸候国，国土面积几百万平方公里，人口数亿，旗下分为十八郡，由燕王手下的十八个位高权重的候爷掌管。
我的时空穿梭手机 　　安阳坐在沙发上。
韩娱之kpopstar 　　烈阳高空，太阳照射在地表，地表上升的热气都成为了扭曲状。这里一年有着长达8个月的超高温‘夏天’，这里是中东伊拉克，是世界上石油最丰富的国度之一，也因为地理环境的问题所致，这里石油比淡水都还要便宜。
我的大明星家族 　　京城五环外的郊区，阳光明媚，一处很大的别墅静静的矗立在半山腰。
枪械主宰 　　　　“土豪，快上官网，你的男枪二觉了！”图浩刚打开QQ，好友神豪的QQ头像便闪动了起来。
导演大亨 　　漆黑夜晚，月光之下。
重返1977 　　公历2012年12月21日，这是玛雅预言的世界末日。但实际上，真的到了这一天，却一切如常，地球依然自转。
韩娱之寻觅 　　“蓝蓝的天空白云飘，白云下面马儿跑”宁奕嘴里边轻轻的哼着小曲，低头看了眼脚底下那波澜起伏的蓝色海洋，宁奕感觉自己好像哪里跑偏了的样子。
大清巨鳄 　　　　也不知在黑暗中沉寂了多久，易知足突然有了知觉，听的到河水的流动声，隐约的说话声，鼻端也嗅到淡淡的脂粉香，想睁开眼，却发现怎么也睁不开眼，不仅睁不开眼，也发不出声音，连根小指头都动不了，仿佛没有身体似的。
武侠世界里的超级玩家 　　恭州城，白玉酒楼。
香江 　　大海变换莫测，它有时波澜不惊，一碧万顷；有时又惊涛拍岸，撬起千堆雪。
洪荒之妹控伏羲 　　楚风渐渐地醒来:“我怎么了我记得自己正在吃饭，然后水开了，然后去充水，然后滑倒然后……，嗯，没有然后了。那么现在是怎么一一人回事，这是什么方到处都是参天大树，各种各样地植物，，更重要的是自已的身体呢我怎么什么都看不到，但又十分清周围地一切”
华娱宗师 　　序：
捡宝生涯 　　　　夏天的太阳火辣辣的照着大地，使得周围的空气非常闷热，虽然才早上九点刚过，街道上除了来往的车辆，行人实在少的可怜。
剧情毁灭者之旅 　　“嘶～”天台上韦俊模模糊糊的睁开双眼后突然发现自己浑身酸痛得厉害，像是被千万只蚂蚁撕咬过一样。在一阵艰难的撑地坐了起来后，韦俊摇了摇还有些恍惚的脑袋：“这！刚才我好像被雷劈了！”突然间韦俊睁大了双眼，立即回忆起之前所发生的事情。
英雄联盟之开挂直播系统 　　“卧槽！吓死爸爸了。”
宗明天下 　　夜已经深了，但京城皇宫文华殿仍然灯火通明，不停的有宦官宫女来来往往，但连轻微的脚步声都听不见，只有宫殿内不时有吩咐的声音传出。
重生之弥憾 　　“哎，这年头嫖昌是犯罪，养情人又太累，还是开同学会好呀，节约嫖资经济又实惠。”李政扫了眼会议室里的女同学，对顾北调侃道。
